Name,Address,City,State
DUPREE CATERING & EVENTS,201 E MAIN ST 15TH FL,Lexington,KY
LAFAYETTE HIGH SCHOOL,400 REED LN,Lexington,KY
LAKESIDE GOLF COURSE SNACK BAR,3725 RICHMOND ROAD,Lexington,KY
LANSDOWNE ELEMENTARY SCHOOL,336 REDDING RD,Lexington,KY
LEE'S FAM. RECI. CHICKEN #7474,1318 VERSAILLES ROAD,Lexington,KY
LEESTOWN MIDDLE SCHOOL,2010 LEESTOWN RD,Lexington,KY
FUSION @ ERICKSON HALL,135 GRAHAM AVE,Lexington,KY
"BLUEGRASS FOODS, INC.",825 LANE ALLEN,Lexington,KY
LEXINGTON CATHOLIC SR HIGH,2250 CLAYS MILL RD,Lexington,KY
BLUE CONCOURSE NO. 4,430 WEST VINE STREET,Lexington,KY
KENTUCKY CATTLEMEN,430 W VINE STREET,Lexington,KY
MAIN EXPOSITION (EAST),430 W. VINE STREET,Lexington,KY
LEX CNTR CORP - MAIN COMMISSARY,430 W VINE ST,Lexington,KY
GOLD STAR CHILI,430 W. VINE ST.,Lexington,KY
LEXINGTON COUNTRY CLUB,2550 PARIS PIKE,Lexington,KY
LEXINGTON COUNTRY PLACE,700 MASON HEADLEY ROAD,Lexington,KY
LEXINGTON ICE CENTER,560 EUREKA SPRINGS DRIVE,Lexington,KY
"LEXINGTON SCHOOL, THE",1050 LANE ALLEN RD,Lexington,KY
THE TULIP BISTRO & BAR,355 ROMANY RD,Lexington,KY
LEXINGTON TRADITIONAL MAGNET SCHOOL,350 N LIMESTONE ST,Lexington,KY
HANNA'S ON LIME,214 SOUTH LIMESTONE STREET,Lexington,KY
LINLEE,2420 SPURR ROAD,Lexington,KY
FITZ'S SPORTS BAR,209 OLD GEORGETOWN STREET,Lexington,KY
ROSE & JIM'S,2461 GEORGETOWN RD,Lexington,KY
LONG JOHN SILVER'S #12,2197 VERSAILLES ROAD,Lexington,KY
NOODLES AND COMPANY,2468 NICHOLASVILLE ROAD,Lexington,KY
A&W RESTAURANT,652 E MAIN STREET,Lexington,KY
LORADALE MARKET,6888 RUSSELL CAVE RD.,Lexington,KY
LOUDON SQUARE BUFFET,801 NORTH BROADWAY,Lexington,KY
LYNAGH'S,384 WOODLAND AVENUE,Lexington,KY
"OLD SAN JUAN, CUBAN CUISINE",247 SURFSIDE DR.,Lexington,KY
MALABU PUB AND GRILLE,239 SURFSIDE DR,Lexington,KY
MARINO'S DAY CARE CENTER,130 WEST FIFTH STREET,Lexington,KY
MARY TODD ELEMENTARY SCHOOL,551 PARKSIDE DR,Lexington,KY
MAXWELL ELEMENTARY SCHOOL,333 WOODLAND AVE,Lexington,KY
WEE CARE DAYCARE,455 E MAXWELL ST,Lexington,KY
MAYFAIR MANOR,3300 TATES CREEK ROAD,Lexington,KY
