,Name,Street,City,State
416,"COFFEE TIMES, INC",2571 REGENCY RD,Lexington,Kentucky
418,COLD STONE CREAMERY,3801 MALL RD SUITE 110,Lexington,Kentucky
422,COLD STONE CREAMERY #1869,2337 SIR BARTON WAY,Lexington,Kentucky
423,COLES 735 MAIN,735 EAST MAIN ST,Lexington,Kentucky
424,COLUMBIA STEAK HOUSE,201 NORTH LIMESTONE,Lexington,Kentucky
426,COLUMBIA STEAKHOUSE GRILLE,2750 RICHMOND RD,Lexington,Kentucky
427,COMEDY OFF BROADWAY,161 LEXINGTON GRN CIRCLE #C-4,Lexington,Kentucky
428,COMFORT SUITES,3060 FIELDSTONE WAY,Lexington,Kentucky
429,COMMON GROUNDS,4772 HARTLAND PARKWAY #128,Lexington,Kentucky
433,COMMON GROUNDS COFFEE HOUSE & CAFE',343 EAST HIGH STREET,Lexington,Kentucky
434,COMMONWEALTH BAPTIST COLLEGE,3440 VERSAILLES ROAD,Lexington,Kentucky
435,COMMUNITY ACTION COUNCIL,913 GEORGETOWN RD,Lexington,Kentucky
437,"COMMUNITY MONTESSORI SCHOOL, INC.",725 STONE ROAD,Lexington,Kentucky
438,CONSOLIDATED BAPTIST CHURCH,1625 RUSSELL CAVE RD.,Lexington,Kentucky
439,COOKOUT,855 S BROADWAY,Lexington,Kentucky
440,COOL NATE'S,333 NEWTOWN PIKE,Lexington,Kentucky
441,CORELIFE EATERY,"4040 FINN WAY, STE 110",Lexington,Kentucky
443,CORPORATE BOX,4201 VERSAILLES RD,Lexington,Kentucky
444,CORTO LIMA,101 W SHORT ST.,Lexington,Kentucky
446,COSMIC CHARLIE'S,105 W. LOUDON AVE,Lexington,Kentucky
447,COSTCO WHOLESALE #1156,1500 FITZGERALD CT.,Lexington,Kentucky
449,"COUNTRY BOY BREWING, LLC",436 CHAIR AVE,Lexington,Kentucky
450,COUNTRY COOKIN' BY GEORGE,1801 ALEXANDRIA DR #192,Lexington,Kentucky
452,COUNTRY INN & SUITES,2297 EXECUTIVE DRIVE,Lexington,Kentucky
454,"COURTYARD CAFE, THE",800 ROSE STREET,Lexington,Kentucky
455,"COURTYARD DELI, THE",351 CHURCH ST,Lexington,Kentucky
456,COURTYARD LEXINGTON NORTH,775 NEWTOWN CT,Lexington,Kentucky
458,COURTYARD LEXINGTON SOUTH/HAMBURG PL,1951 PLEASANT RIDGE DRIVE,Lexington,Kentucky
464,COVENTRY OAK ELEMENTARY,2441 HUNTLY,Lexington,Kentucky
465,COVERED ARENA DINER,4089 IRON WORKS PIKE,Lexington,Kentucky
466,COWBOY BRAZILIAN STEAK HOUSE,2041 RICHMOND RD,Lexington,Kentucky
468,COWBOY'S,1515 RUSSELL CAVE RD,Lexington,Kentucky
469,CP FOOD MART,1161 CENTRE PARKWAY,Lexington,Kentucky
